contador,fecha,hora,temperatura_ambiente,temperatura_lata
87,20-6-2019,15:32:52,40.08,35.81
88,20-6-2019,15:32:54,40.08,35.81
89,20-6-2019,15:32:56,39.59,35.81
90,20-6-2019,15:32:57,40.08,35.81
91,20-6-2019,15:32:59,40.08,35.81
92,20-6-2019,15:33:1,40.08,35.88
93,20-6-2019,15:33:3,40.08,35.88
94,20-6-2019,15:33:5,40.08,35.88
95,20-6-2019,15:33:6,39.59,35.88
96,20-6-2019,15:33:8,40.08,35.88
97,20-6-2019,15:33:10,40.08,35.88
98,20-6-2019,15:33:12,40.08,35.94
99,20-6-2019,15:33:14,40.08,35.88
100,20-6-2019,15:33:15,40.08,35.94
101,20-6-2019,15:33:17,40.08,35.94
102,20-6-2019,15:33:19,40.08,35.94
103,20-6-2019,15:33:21,40.08,35.94
104,20-6-2019,15:33:23,40.08,35.94
105,20-6-2019,15:33:24,40.08,35.94
106,20-6-2019,15:33:26,40.08,35.94
107,20-6-2019,15:33:28,40.08,36.00
108,20-6-2019,15:33:30,40.08,36.00
109,20-6-2019,15:33:32,40.08,36.00
110,20-6-2019,15:33:34,40.08,36.00
111,20-6-2019,15:33:35,40.08,36.00
112,20-6-2019,15:33:37,40.08,36.00
113,20-6-2019,15:33:39,40.57,36.00
114,20-6-2019,15:33:41,40.08,36.06
115,20-6-2019,15:33:43,40.08,36.06
116,20-6-2019,15:33:44,40.08,36.06
117,20-6-2019,15:33:46,40.08,36.06
118,20-6-2019,15:33:48,40.08,36.06
119,20-6-2019,15:33:50,40.08,36.06
120,20-6-2019,15:33:52,40.08,36.06
121,20-6-2019,15:33:53,40.08,36.06
122,20-6-2019,15:33:55,40.08,36.06
123,20-6-2019,15:33:57,40.08,36.06
124,20-6-2019,15:33:59,40.08,36.13
125,20-6-2019,15:34:1,40.08,36.06
126,20-6-2019,15:34:2,40.08,36.13
127,20-6-2019,15:34:4,39.59,36.13
128,20-6-2019,15:34:6,40.08,36.13
129,20-6-2019,15:34:8,39.59,36.13
130,20-6-2019,15:34:10,39.59,36.13
131,20-6-2019,15:34:11,39.59,36.13
132,20-6-2019,15:34:13,39.59,36.13
133,20-6-2019,15:34:15,39.59,36.13
134,20-6-2019,15:34:17,39.59,36.19
135,20-6-2019,15:34:19,39.59,36.19
136,20-6-2019,15:34:20,39.59,36.19
137,20-6-2019,15:34:22,39.59,36.19
138,20-6-2019,15:34:24,39.10,36.19
139,20-6-2019,15:34:26,39.59,36.19
140,20-6-2019,15:34:28,39.59,36.19
141,20-6-2019,15:34:30,39.59,36.19
142,20-6-2019,15:34:31,39.59,36.19
143,20-6-2019,15:34:33,39.59,36.25
144,20-6-2019,15:34:35,39.59,36.19
145,20-6-2019,15:34:37,39.59,36.25
146,20-6-2019,15:34:39,39.10,36.25
147,20-6-2019,15:34:40,39.10,36.25
148,20-6-2019,15:34:42,39.59,36.25
149,20-6-2019,15:34:44,39.10,36.25
150,20-6-2019,15:34:46,39.10,36.25
151,20-6-2019,15:34:48,39.10,36.25
152,20-6-2019,15:34:49,39.10,36.31
153,20-6-2019,15:34:51,39.10,36.31
154,20-6-2019,15:34:53,39.10,36.31
155,20-6-2019,15:34:55,39.10,36.31
156,20-6-2019,15:34:57,39.10,36.31
157,20-6-2019,15:34:58,39.59,36.31
158,20-6-2019,15:35:0,39.59,36.31
159,20-6-2019,15:35:2,39.59,36.31
160,20-6-2019,15:35:4,39.59,36.31
161,20-6-2019,15:35:6,39.59,36.31
162,20-6-2019,15:35:7,40.08,36.38
163,20-6-2019,15:35:9,40.08,36.38
164,20-6-2019,15:35:11,40.08,36.38
165,20-6-2019,15:35:13,40.08,36.38
166,20-6-2019,15:35:15,40.08,36.38
167,20-6-2019,15:35:16,40.08,36.38
168,20-6-2019,15:35:18,40.08,36.38
169,20-6-2019,15:35:20,40.08,36.38
170,20-6-2019,15:35:22,40.08,36.38
171,20-6-2019,15:35:24,40.57,36.38
172,20-6-2019,15:35:25,40.57,36.38
173,20-6-2019,15:35:27,40.08,36.38
174,20-6-2019,15:35:29,40.57,36.44
175,20-6-2019,15:35:31,40.57,36.38
176,20-6-2019,15:35:33,40.08,36.44
177,20-6-2019,15:35:34,40.57,36.44
178,20-6-2019,15:35:36,40.57,36.44
179,20-6-2019,15:35:38,40.57,36.44
180,20-6-2019,15:35:40,40.57,36.44
181,20-6-2019,15:35:42,40.57,36.44
182,20-6-2019,15:35:44,40.57,36.44
183,20-6-2019,15:35:45,40.57,36.50
184,20-6-2019,15:35:47,40.57,36.50
185,20-6-2019,15:35:49,40.57,36.50
186,20-6-2019,15:35:51,40.57,36.50
187,20-6-2019,15:35:53,40.57,36.50
188,20-6-2019,15:35:54,40.57,36.50
189,20-6-2019,15:35:56,40.57,36.50
190,20-6-2019,15:35:58,40.57,36.50
191,20-6-2019,15:36:0,40.57,36.50
192,20-6-2019,15:36:2,40.57,36.56
193,20-6-2019,15:36:3,40.57,36.50
194,20-6-2019,15:36:5,40.57,36.56
195,20-6-2019,15:36:7,40.08,36.56
196,20-6-2019,15:36:9,40.08,36.56
197,20-6-2019,15:36:11,40.57,36.56
198,20-6-2019,15:36:12,40.08,36.56
199,20-6-2019,15:36:14,40.08,36.56
200,20-6-2019,15:36:16,40.08,36.63
201,20-6-2019,15:36:18,40.57,36.63
202,20-6-2019,15:36:20,40.57,36.63
203,20-6-2019,15:36:21,40.57,36.63
204,20-6-2019,15:36:23,40.57,36.63
205,20-6-2019,15:36:25,40.08,36.63
206,20-6-2019,15:36:27,40.57,36.63
207,20-6-2019,15:36:29,40.57,36.63
208,20-6-2019,15:36:30,40.57,36.69
209,20-6-2019,15:36:32,40.57,36.69
210,20-6-2019,15:36:34,40.08,36.69
211,20-6-2019,15:36:36,40.57,36.69
212,20-6-2019,15:36:38,40.08,36.69
213,20-6-2019,15:36:39,40.08,36.69
214,20-6-2019,15:36:41,40.08,36.69
215,20-6-2019,15:36:43,40.08,36.69
216,20-6-2019,15:36:45,39.59,36.69
217,20-6-2019,15:36:47,40.08,36.69
218,20-6-2019,15:36:48,40.08,36.69
219,20-6-2019,15:36:50,39.59,36.75
220,20-6-2019,15:36:52,39.59,36.75
221,20-6-2019,15:36:54,40.08,36.75
222,20-6-2019,15:36:56,40.08,36.75
223,20-6-2019,15:36:58,39.59,36.75
224,20-6-2019,15:36:59,40.08,36.75
225,20-6-2019,15:37:1,40.08,36.75
226,20-6-2019,15:37:3,39.59,36.75
227,20-6-2019,15:37:5,40.08,36.75
228,20-6-2019,15:37:7,40.08,36.81
229,20-6-2019,15:37:8,39.59,36.81
230,20-6-2019,15:37:10,39.59,36.81
231,20-6-2019,15:37:12,40.08,36.81
232,20-6-2019,15:37:14,39.59,36.81
233,20-6-2019,15:37:16,40.08,36.81
234,20-6-2019,15:37:17,39.59,36.81
235,20-6-2019,15:37:19,40.08,36.81
236,20-6-2019,15:37:21,39.59,36.81
237,20-6-2019,15:37:23,40.08,36.81
238,20-6-2019,15:37:25,39.59,36.81
239,20-6-2019,15:37:26,40.08,36.81
240,20-6-2019,15:37:28,40.08,36.88
241,20-6-2019,15:37:30,40.08,36.88
242,20-6-2019,15:37:32,40.08,36.88
243,20-6-2019,15:37:34,40.57,36.88
244,20-6-2019,15:37:35,40.57,36.88
245,20-6-2019,15:37:37,40.57,36.88
246,20-6-2019,15:37:39,40.57,36.88
247,20-6-2019,15:37:41,40.57,36.88
248,20-6-2019,15:37:43,40.57,36.88
249,20-6-2019,15:37:44,40.57,36.88
250,20-6-2019,15:37:46,40.57,36.94
251,20-6-2019,15:37:48,40.57,36.94
252,20-6-2019,15:37:50,41.06,36.94
253,20-6-2019,15:37:52,41.06,36.94
254,20-6-2019,15:37:54,41.06,36.94
255,20-6-2019,15:37:55,41.06,36.94
256,20-6-2019,15:37:57,41.06,36.94
