contador,fecha,hora,temperatura
300,20-6-2019,15:39:17,37.13
301,20-6-2019,15:39:18,37.13
302,20-6-2019,15:39:20,37.13
303,20-6-2019,15:39:22,37.13
304,20-6-2019,15:39:24,37.19
305,20-6-2019,15:39:26,37.19
306,20-6-2019,15:39:27,37.19
307,20-6-2019,15:39:29,37.19
308,20-6-2019,15:39:31,37.19
309,20-6-2019,15:39:33,37.19
310,20-6-2019,15:39:35,37.19
311,20-6-2019,15:39:36,37.19
312,20-6-2019,15:39:38,37.25
313,20-6-2019,15:39:40,37.25
314,20-6-2019,15:39:42,37.25
315,20-6-2019,15:39:44,37.25
316,20-6-2019,15:39:45,37.25
317,20-6-2019,15:39:47,37.25
318,20-6-2019,15:39:49,37.25
319,20-6-2019,15:39:51,37.25
320,20-6-2019,15:39:53,37.25
321,20-6-2019,15:39:54,37.31
322,20-6-2019,15:39:56,37.31
323,20-6-2019,15:39:58,37.31
324,20-6-2019,15:40:0,37.31
325,20-6-2019,15:40:2,37.31
326,20-6-2019,15:40:3,37.31
327,20-6-2019,15:40:5,37.31
328,20-6-2019,15:40:7,37.31
329,20-6-2019,15:40:9,37.31
330,20-6-2019,15:40:11,37.38
331,20-6-2019,15:40:12,37.31
332,20-6-2019,15:40:14,37.38
333,20-6-2019,15:40:16,37.38
334,20-6-2019,15:40:18,37.38
335,20-6-2019,15:40:20,37.38
336,20-6-2019,15:40:22,37.38
337,20-6-2019,15:40:23,37.38
338,20-6-2019,15:40:25,37.38
339,20-6-2019,15:40:27,37.38
340,20-6-2019,15:40:29,37.44
341,20-6-2019,15:40:31,37.44
342,20-6-2019,15:40:32,37.44
343,20-6-2019,15:40:34,37.44
344,20-6-2019,15:40:36,37.44
345,20-6-2019,15:40:38,37.44
346,20-6-2019,15:40:40,37.44
347,20-6-2019,15:40:41,37.44
348,20-6-2019,15:40:43,37.44
349,20-6-2019,15:40:45,37.44
350,20-6-2019,15:40:47,37.44
351,20-6-2019,15:40:49,37.44
352,20-6-2019,15:40:50,37.5
353,20-6-2019,15:40:52,37.5
354,20-6-2019,15:40:54,37.5
355,20-6-2019,15:40:56,37.5
356,20-6-2019,15:40:58,37.5
357,20-6-2019,15:40:59,37.5
358,20-6-2019,15:41:1,37.5
359,20-6-2019,15:41:3,37.5
360,20-6-2019,15:41:5,37.5
361,20-6-2019,15:41:7,37.5
362,20-6-2019,15:41:8,37.5
363,20-6-2019,15:41:10,37.5
364,20-6-2019,15:41:12,37.5
365,20-6-2019,15:41:14,37.56
366,20-6-2019,15:41:16,37.56
367,20-6-2019,15:41:17,37.56
368,20-6-2019,15:41:19,37.56
369,20-6-2019,15:41:21,37.56
370,20-6-2019,15:41:23,37.56
371,20-6-2019,15:41:25,37.56
372,20-6-2019,15:41:27,37.56
373,20-6-2019,15:41:28,37.63
374,20-6-2019,15:41:30,37.63
375,20-6-2019,15:41:32,37.63
376,20-6-2019,15:41:34,37.63
377,20-6-2019,15:41:36,37.63
378,20-6-2019,15:41:37,37.63
379,20-6-2019,15:41:39,37.63
380,20-6-2019,15:41:41,37.63
381,20-6-2019,15:41:43,37.63
382,20-6-2019,15:41:45,37.69
383,20-6-2019,15:41:46,37.69
384,20-6-2019,15:41:48,37.69
385,20-6-2019,15:41:50,37.69
386,20-6-2019,15:41:52,37.69
387,20-6-2019,15:41:54,37.69
388,20-6-2019,15:41:55,37.69
389,20-6-2019,15:41:57,37.69
390,20-6-2019,15:41:59,37.75
391,20-6-2019,15:42:1,37.75
392,20-6-2019,15:42:3,37.75
393,20-6-2019,15:42:4,37.75
394,20-6-2019,15:42:6,37.75
395,20-6-2019,15:42:8,37.75
396,20-6-2019,15:42:10,37.75
397,20-6-2019,15:42:12,37.75
398,20-6-2019,15:42:13,37.75
399,20-6-2019,15:42:15,37.75
400,20-6-2019,15:42:17,37.75
401,20-6-2019,15:42:19,37.75
402,20-6-2019,15:42:21,37.75
403,20-6-2019,15:42:22,37.75
404,20-6-2019,15:42:24,37.75
405,20-6-2019,15:42:26,37.75
406,20-6-2019,15:42:28,37.81
407,20-6-2019,15:42:30,37.81
408,20-6-2019,15:42:32,37.81
409,20-6-2019,15:42:33,37.81
410,20-6-2019,15:42:35,37.81
411,20-6-2019,15:42:37,37.81
412,20-6-2019,15:42:39,37.81
413,20-6-2019,15:42:41,37.81
414,20-6-2019,15:42:42,37.81
415,20-6-2019,15:42:44,37.81
416,20-6-2019,15:42:46,37.81
417,20-6-2019,15:42:48,37.81
418,20-6-2019,15:42:50,37.81
419,20-6-2019,15:42:51,37.81
420,20-6-2019,15:42:53,37.88
421,20-6-2019,15:42:55,37.81
422,20-6-2019,15:42:57,37.88
423,20-6-2019,15:42:59,37.88
424,20-6-2019,15:43:0,37.88
425,20-6-2019,15:43:2,37.88
426,20-6-2019,15:43:4,37.88
427,20-6-2019,15:43:6,37.88
428,20-6-2019,15:43:8,37.88
429,20-6-2019,15:43:9,37.88
430,20-6-2019,15:43:11,37.88
431,20-6-2019,15:43:13,37.88
432,20-6-2019,15:43:15,37.88
433,20-6-2019,15:43:17,37.88
434,20-6-2019,15:43:18,37.88
435,20-6-2019,15:43:20,37.88
436,20-6-2019,15:43:22,37.88
437,20-6-2019,15:43:24,37.88
438,20-6-2019,15:43:26,37.88
439,20-6-2019,15:43:27,37.94
440,20-6-2019,15:43:29,37.88
441,20-6-2019,15:43:31,37.88
442,20-6-2019,15:43:33,37.94
443,20-6-2019,15:43:35,37.94
444,20-6-2019,15:43:36,37.94
445,20-6-2019,15:43:38,37.94
446,20-6-2019,15:43:40,37.94
447,20-6-2019,15:43:42,37.94
448,20-6-2019,15:43:44,37.94
449,20-6-2019,15:43:46,37.94
450,20-6-2019,15:43:47,37.94
451,20-6-2019,15:43:49,38
452,20-6-2019,15:43:51,38
453,20-6-2019,15:43:53,38
454,20-6-2019,15:43:55,38
455,20-6-2019,15:43:56,38
456,20-6-2019,15:43:58,38
457,20-6-2019,15:44:0,38
458,20-6-2019,15:44:2,38
